age,job,marital,education,default,balance,housing,loan,duration
58,4,1,2,0,2143,1,0,261
44,9,2,1,0,29,1,0,151
33,2,1,1,0,2,1,1,76
47,1,1,3,0,1506,1,0,92
33,11,2,3,0,1,0,0,198
35,4,1,2,0,231,1,0,139
28,4,2,2,0,447,1,1,217
42,2,0,2,1,2,1,0,380
58,5,1,0,0,121,1,0,50
43,9,2,1,0,593,1,0,55
41,0,0,1,0,270,1,0,222
29,0,2,1,0,390,1,0,137
53,9,1,1,0,6,1,0,517
58,9,1,3,0,71,1,0,71
57,7,1,1,0,162,1,0,174
51,5,1,0,0,229,1,0,353
45,0,2,3,0,13,1,0,98
57,1,1,0,0,52,1,0,38
60,5,1,0,0,60,1,0,219
33,7,1,1,0,0,1,0,54
28,1,1,1,0,723,1,1,262
56,4,1,2,0,779,1,0,164
32,1,2,0,0,23,1,1,160
25,7,1,1,0,50,1,0,342
40,5,1,0,0,0,1,1,181
44,0,1,1,0,-372,1,0,172
39,4,2,2,0,255,1,0,296
52,2,1,1,0,113,1,1,127
46,4,2,1,0,-246,1,0,255
36,9,2,1,0,265,1,1,348
57,9,1,1,0,839,0,1,225
49,4,1,2,0,378,1,0,230
60,0,1,1,0,39,1,1,208
59,1,1,1,0,0,1,0,226
51,4,1,2,0,10635,1,0,336
57,9,0,1,0,63,1,0,242
25,1,1,1,0,-7,1,0,365
53,9,1,1,0,-3,0,0,1666
36,0,0,1,0,506,1,0,577
37,0,2,1,0,0,1,0,137
44,7,0,1,0,2586,1,0,160
50,4,1,1,0,49,1,0,180
60,1,1,3,0,104,1,0,22
54,5,1,1,0,529,1,0,1492
58,5,1,3,0,96,1,0,616
36,0,2,0,0,-171,1,0,242
58,6,1,2,0,-364,1,0,355
44,9,1,1,0,0,1,0,225
55,9,0,1,0,0,0,0,160
29,4,2,2,0,0,1,0,363
54,1,1,1,0,1291,1,0,266
48,4,0,2,0,-244,1,0,253
32,4,1,2,0,0,1,0,179
42,0,2,1,0,-76,1,0,787
24,9,2,1,0,-103,1,1,145
38,2,2,2,0,243,0,1,174
38,4,2,2,0,424,1,0,104
47,1,1,3,0,306,1,0,13
40,1,2,3,0,24,1,0,185
46,7,1,0,0,179,1,0,1778
32,0,1,2,0,0,1,0,138
53,9,0,1,0,989,1,0,812
57,1,1,0,0,249,1,0,164
33,7,1,1,0,790,1,0,391
49,1,1,3,0,154,1,0,357
51,4,1,2,0,6530,1,0,91
60,5,1,2,0,100,0,0,528
59,4,0,2,0,59,1,0,273
55,9,1,1,0,1205,1,0,158
35,1,2,1,0,12223,1,1,177
57,1,1,1,0,5935,1,1,258
31,7,1,1,0,25,1,1,172
54,4,1,1,0,282,1,1,154
55,1,1,0,0,23,1,0,291
43,9,1,1,0,1937,1,0,181
53,9,1,1,0,384,1,0,176
44,1,1,1,0,582,0,1,211
55,7,0,1,0,91,0,0,349
49,7,0,1,0,0,1,1,272
55,7,0,1,1,1,1,0,208
45,0,2,1,0,206,1,0,193
47,7,0,1,0,164,0,0,212
42,9,2,1,0,690,1,0,20
59,0,1,1,0,2343,1,0,1042
46,6,1,2,0,137,1,1,246
51,1,1,0,0,173,1,0,529
56,0,1,1,0,45,0,0,1467
41,9,1,1,0,1270,1,0,1389
46,4,0,1,0,16,1,1,188
57,5,1,1,0,486,1,0,180
42,4,2,1,0,50,0,0,48
30,9,1,1,0,152,1,1,213
60,0,1,1,0,290,1,0,583
60,1,1,3,0,54,1,0,221
57,2,0,1,0,-37,0,0,173
36,4,1,2,0,101,1,1,426
55,1,1,1,0,383,0,0,287
60,5,1,2,0,81,1,0,101
39,9,1,1,0,0,1,0,203
46,4,1,2,0,229,1,0,197
44,1,1,1,0,-674,1,0,257
53,1,1,0,0,90,0,0,124
52,1,1,0,0,128,1,0,229
59,1,1,0,0,179,1,0,55
27,9,2,2,0,0,1,0,400
44,1,1,1,0,54,1,0,197
47,9,1,2,0,151,1,0,190
34,0,1,1,0,61,0,1,21
59,5,2,1,0,30,1,0,514
45,4,1,2,0,523,1,0,849
29,7,0,1,0,31,1,0,194
46,9,0,1,0,79,0,0,144
56,6,1,0,0,-34,1,1,212
36,1,1,0,0,448,1,0,286
59,5,0,0,0,81,1,0,107
44,1,1,1,0,144,1,0,247
41,0,1,1,0,351,1,0,518
33,4,2,2,0,-67,1,0,364
59,4,0,2,0,262,0,0,178
57,9,1,0,0,0,0,0,98
56,9,0,3,0,56,1,0,439
51,1,1,1,0,26,1,0,79
34,0,1,3,0,3,1,0,120
43,7,1,1,0,41,1,1,127
52,9,1,2,0,7,0,1,175
33,9,2,1,0,105,1,0,262
29,0,2,1,0,818,1,1,61
34,7,1,1,0,-16,1,1,78
31,1,1,1,0,0,1,0,143
55,7,1,1,0,2476,1,0,579
55,4,1,3,0,1185,0,0,677
32,0,2,1,0,217,1,0,345
38,9,2,1,0,1685,1,0,185
55,0,2,1,0,802,1,1,100
28,10,2,2,0,0,1,0,125
23,1,1,1,0,94,1,0,193
32,9,2,1,0,0,1,0,136
43,7,2,3,0,0,0,0,73
32,1,1,1,0,517,1,0,528
46,1,1,1,0,265,1,0,541
53,3,0,0,0,947,1,0,163
34,6,2,1,0,3,1,0,301
57,10,1,2,0,42,0,0,46
37,1,1,1,0,37,1,0,204
59,1,1,1,0,57,1,0,98
33,7,1,1,0,22,1,0,71
56,1,0,0,0,8,1,0,157
48,10,1,1,0,293,1,0,243
43,7,1,0,0,3,1,0,186
54,1,1,0,0,348,1,0,579
51,1,1,3,0,-19,1,0,163
26,8,2,1,0,0,1,0,610
40,4,1,2,0,-4,1,0,2033
39,4,1,1,0,18,1,0,85
50,9,1,0,0,139,0,0,114
41,7,1,1,0,0,1,0,114
51,1,1,3,0,1883,1,0,57
60,5,0,1,0,216,1,0,238
52,1,1,1,0,782,1,0,93
48,1,1,1,0,904,1,0,128
48,7,1,3,0,1705,1,0,107
39,9,2,2,0,47,1,0,181
47,7,2,1,0,176,1,0,303
40,1,1,1,0,1225,1,0,558
45,9,1,1,0,86,1,0,270
26,0,2,1,0,82,1,0,228
52,4,1,2,0,271,1,0,99
54,9,1,1,0,1378,1,0,240
54,0,1,2,0,184,0,0,673
50,1,1,0,0,0,0,0,233
35,1,1,1,0,0,1,0,1056
44,7,1,1,0,1357,1,1,250
53,2,1,3,0,19,1,0,252
35,5,2,0,0,434,0,0,138
60,0,0,1,0,92,1,0,130
53,0,0,1,0,1151,1,0,412
48,10,1,1,0,41,1,0,179
34,9,1,1,0,51,1,0,19
54,7,1,1,0,214,1,0,458
51,4,1,1,0,1161,1,0,717
31,7,1,2,0,37,1,0,313
35,9,0,1,0,787,1,0,683
35,7,1,1,0,59,1,0,1077
38,9,1,1,0,253,1,0,416
36,0,1,2,0,211,1,0,146
58,5,1,0,0,235,1,0,167
40,7,0,3,0,4384,1,0,315
54,4,1,1,0,4080,0,0,140
34,1,2,1,0,53,1,1,346
31,4,2,2,0,0,1,0,562
51,5,1,1,0,2127,1,0,172
33,4,1,2,0,377,1,0,217
55,4,1,2,0,73,1,0,142
42,0,1,1,0,445,1,0,67
34,1,1,1,0,243,1,0,291
33,1,2,1,0,307,1,0,309
38,7,1,1,0,155,1,0,248
50,9,0,2,0,173,0,1,98
43,4,1,2,0,400,1,0,256
61,1,0,0,0,1428,1,0,82
47,0,1,1,0,219,1,0,577
48,6,1,2,0,7,1,0,286
44,1,1,1,0,575,1,0,477
35,8,2,3,0,298,1,0,611
35,7,1,1,0,0,1,0,471
50,7,1,1,0,5699,1,0,381
41,4,1,2,0,176,1,1,42
41,4,1,2,0,517,1,0,251
39,7,2,3,0,257,1,0,408
42,5,1,1,0,56,1,0,215
38,1,1,1,0,-390,1,0,287
53,5,1,1,0,330,1,0,216
59,3,0,0,0,195,0,0,366
36,7,1,1,0,301,1,0,210
54,1,1,0,0,-41,1,0,288
40,9,1,2,0,483,1,0,168
47,11,1,3,0,28,0,0,338
53,10,1,3,0,13,0,0,410
46,3,1,0,0,965,0,0,177
39,4,1,2,0,378,1,1,127
40,10,1,1,0,219,1,0,357
28,1,1,0,0,324,1,0,175
35,2,0,1,0,-69,1,0,300
55,5,1,1,0,0,0,1,136
43,9,0,3,0,205,1,0,1419
48,1,1,0,0,278,1,0,125
58,4,1,3,0,1065,1,0,213
33,4,2,2,0,34,1,0,27
36,1,1,3,0,1033,0,0,238
53,7,0,1,0,1467,1,0,124
47,1,1,0,0,-12,1,0,18
31,7,1,1,0,388,1,0,730
57,2,1,1,0,294,1,0,746
53,1,1,3,0,1827,0,0,121
55,1,1,0,0,627,1,0,247
45,1,1,0,0,25,1,0,40
53,0,0,1,0,315,1,0,181
37,1,1,0,0,0,1,0,79
44,0,0,1,0,66,1,0,206
49,1,0,0,0,-9,1,1,389
46,9,1,1,0,349,1,1,127
43,2,1,3,0,100,1,0,702
38,0,1,1,0,0,0,0,151
43,9,1,1,0,434,1,0,117
49,4,1,2,0,3237,1,0,232
42,4,1,3,0,275,0,0,408
22,1,2,1,0,0,1,0,179
40,4,1,2,0,207,1,0,39
39,1,1,1,0,483,1,0,282
51,7,1,1,0,2248,1,0,714
49,0,1,1,0,428,1,0,50
53,1,1,1,0,0,1,1,181
34,7,2,1,0,0,1,0,142
33,9,0,1,0,140,1,0,227
50,4,2,2,0,297,1,0,119
39,1,1,0,0,279,1,0,361
59,2,0,1,0,901,1,0,73
30,9,2,1,0,2573,1,0,67
36,7,1,1,0,143,1,1,350
40,1,1,1,0,475,1,0,332
53,1,1,1,0,70,1,0,611
34,4,2,2,0,318,1,0,113
37,9,1,1,0,275,1,0,132
42,4,0,2,0,742,1,0,58
41,2,1,0,0,236,1,0,151
30,8,2,2,0,25,1,0,89
37,4,2,2,0,600,1,0,152
39,0,0,1,0,-349,1,0,611
41,1,1,0,0,183,1,1,110
40,1,1,0,0,0,1,0,463
42,4,2,2,0,0,1,1,562
40,1,0,0,0,0,1,0,962
57,9,1,1,0,1078,1,0,10
56,2,0,1,0,155,0,0,118
37,0,1,1,0,190,1,0,92
59,5,1,1,0,319,1,0,143
39,7,0,1,0,-185,1,0,189
49,7,1,1,0,47,0,0,234
38,7,2,1,0,570,1,0,75
36,6,1,2,0,19,0,0,189
50,1,1,0,0,61,1,0,621
41,0,1,1,0,-62,1,1,55
54,9,1,2,0,258,0,0,310
58,1,1,0,0,76,1,0,156
30,1,2,1,0,0,1,0,5
33,0,2,1,0,352,1,0,225
47,0,1,1,0,368,1,0,125
50,9,2,2,0,339,1,0,2
32,1,1,1,0,1331,1,0,286
40,6,1,1,0,672,1,0,164
37,4,1,2,0,58,1,0,98
54,9,2,3,0,447,1,0,742
24,8,2,1,0,423,1,0,226
54,4,1,2,0,0,0,0,120
34,9,1,1,0,19,1,0,362
56,9,0,0,0,13,1,0,357
31,1,2,1,0,3,1,0,200
24,8,2,1,0,82,1,0,204
42,1,0,0,0,28,1,0,126
57,9,1,1,0,792,1,0,65
42,1,1,3,0,408,1,0,107
51,0,1,1,0,531,1,0,267
57,5,1,1,0,211,1,0,248
36,7,2,1,0,62,1,0,215
53,7,1,3,0,257,1,0,209
50,9,1,1,0,1234,1,0,205
54,4,1,2,0,313,1,0,83
55,1,1,1,0,89,1,0,106
44,1,1,1,0,129,1,1,189
43,4,1,3,0,0,1,0,105
56,0,1,1,0,353,1,0,106
54,9,1,3,0,851,1,0,108
55,7,0,0,0,96,1,1,311
37,7,0,1,0,398,1,1,214
33,0,2,2,0,193,0,0,132
46,0,1,1,0,-358,1,0,358
36,1,1,1,0,539,1,1,453
51,9,2,1,0,0,1,0,364
40,5,2,0,0,0,0,0,136
42,1,1,1,0,490,1,0,386
51,1,1,1,0,0,1,0,173
49,1,1,3,0,403,1,0,241
48,4,1,1,0,161,1,0,224
32,9,0,2,0,2558,0,0,148
31,0,2,1,0,98,1,0,196
55,4,2,2,0,115,0,0,111
40,1,2,1,0,436,1,0,231
47,9,1,2,0,831,1,0,316
57,9,1,3,0,206,1,0,216
41,1,1,1,0,290,1,0,240
48,1,1,1,0,1,0,0,669
42,1,1,3,0,57,1,0,425
30,1,2,1,0,-457,1,0,143
58,4,2,2,0,1387,1,0,174
45,4,0,2,0,24598,1,0,313
49,1,1,1,0,30,1,0,135
42,0,2,1,0,1022,1,0,146
53,9,1,1,0,56,1,1,152
51,0,2,1,1,-2,0,0,402
32,7,2,1,0,121,1,0,213
41,1,2,1,0,842,1,0,144
43,4,0,1,0,693,1,0,124
40,1,0,1,0,-333,1,0,183
50,1,1,0,0,1533,1,0,325
34,4,1,2,0,46,1,0,39
53,7,1,3,0,18,0,0,503
45,9,1,1,0,44,1,0,95
39,1,1,0,0,-100,1,0,680
44,7,1,2,0,510,1,0,421
55,4,1,2,0,685,1,0,174
46,4,2,2,0,187,1,0,113
45,1,1,1,0,66,1,0,808
34,0,1,1,0,560,1,0,198
36,1,1,1,0,0,1,0,195
59,11,0,3,0,27,0,0,347
31,0,2,1,0,12,1,0,208
44,1,2,1,0,34,1,0,404
33,2,2,2,0,1068,1,0,396
40,1,1,1,0,211,1,0,216
46,0,2,2,0,377,1,0,98
48,4,1,2,0,263,1,0,350
42,7,1,1,0,1263,1,0,114
27,7,1,1,0,8,1,0,88
48,0,1,1,0,126,1,1,379
59,0,1,1,0,230,1,0,190
46,9,1,2,0,841,1,0,158
38,0,0,1,0,308,1,0,102
43,4,0,2,0,1,1,0,306
38,0,0,2,0,86,1,0,218
23,8,2,1,0,157,1,0,54
34,7,1,1,0,22,1,0,344
38,0,1,1,0,46,1,1,195
37,1,1,1,0,1293,0,0,652
25,0,2,1,0,122,1,0,286
48,1,1,3,0,131,1,0,189
49,1,2,1,0,143,1,0,83
38,0,2,1,0,393,0,0,184
43,1,1,0,0,98,1,0,235
33,4,1,2,0,0,1,0,290
55,1,1,1,0,224,1,0,232
38,1,1,1,0,757,1,0,133
49,7,1,1,0,245,1,1,318
40,4,1,1,0,8486,0,0,260
43,0,1,3,0,350,0,0,437
38,1,1,1,0,20,1,0,402
58,7,1,1,0,1667,1,1,85
57,9,1,3,0,345,1,0,125
32,10,1,1,0,10,1,0,501
56,4,1,2,0,830,1,1,1201
58,1,0,3,0,29,1,0,253
60,5,0,1,0,545,1,0,1030
37,9,1,2,0,8730,1,0,149
46,9,0,2,0,477,1,0,114
27,0,1,1,0,4,1,0,243
43,1,1,1,0,1205,1,0,769
32,9,2,1,0,0,1,1,135
40,0,2,1,0,263,1,0,231
38,0,1,1,0,1,0,0,76
34,1,1,1,0,283,0,1,199
47,1,1,0,0,206,1,0,152
42,3,1,0,0,17,1,0,124
48,9,1,1,0,141,1,1,424
29,6,2,2,0,16,1,0,43
50,7,1,1,0,206,1,0,154
52,9,1,3,0,7,0,0,203
50,4,1,2,0,0,0,0,326
58,5,1,2,0,0,0,0,393
46,1,0,0,0,1927,1,0,241
38,9,1,1,0,284,1,0,483
46,1,1,1,0,1660,1,0,259
32,7,2,1,0,406,1,0,227
51,1,1,0,0,230,1,0,673
39,0,2,1,0,-25,1,0,576
48,0,1,1,0,182,1,0,180
36,2,1,2,0,1169,1,0,168
34,0,0,1,0,67,1,0,90
40,9,1,1,0,77,0,0,505
43,10,1,1,0,0,1,0,245
52,1,0,0,0,55,1,1,186
33,9,1,1,1,72,1,0,623
49,4,2,2,0,163,1,0,496
32,4,2,2,0,151,1,0,118
39,0,2,1,0,113,1,0,342
40,1,1,1,0,0,1,0,225
38,9,2,2,0,9,1,0,185
43,4,1,1,0,375,1,0,196
39,7,1,1,0,1142,1,0,276
54,1,1,0,0,2102,1,0,76
38,9,2,2,0,4325,1,0,87
40,1,1,1,0,217,1,0,195
55,0,1,1,0,131,1,0,744
42,4,1,2,0,1680,1,0,765
39,1,1,1,0,0,1,0,262
40,1,1,0,0,46,1,0,119
32,1,1,1,0,320,1,0,198
55,0,1,1,0,183,1,0,150
45,1,1,1,0,39,0,0,241
35,4,2,2,0,560,1,0,181
58,9,0,1,0,469,0,0,196
35,0,1,1,0,530,1,0,149
49,7,1,0,0,61,1,0,246
34,9,2,2,0,242,1,0,112
36,1,1,1,0,139,1,0,309
24,6,2,1,0,0,1,0,278
34,9,1,1,0,367,1,0,140
51,0,0,1,0,228,1,0,136
39,9,2,3,0,45248,1,0,1623
50,6,1,3,0,-84,1,0,101
32,7,2,1,0,310,1,0,144
42,1,1,3,0,132,1,0,238
50,9,1,1,0,797,1,0,354
40,7,1,1,0,71,0,0,79
46,4,0,3,0,2,1,0,187
37,4,1,2,0,231,1,1,451
34,1,1,1,0,270,1,1,159
44,1,1,1,0,274,1,1,409
40,0,2,1,0,-109,1,1,170
37,9,1,1,0,1,1,0,608
33,1,2,1,1,-60,0,0,243
35,1,1,1,0,89,1,0,145
58,1,0,1,0,-11,0,0,112
39,1,1,0,0,0,1,0,262
43,1,1,1,0,-509,1,0,124
39,10,1,0,0,408,1,0,53
36,7,2,0,0,58,1,0,134
57,5,2,1,0,1640,0,1,204
36,0,2,1,0,20,1,0,186
50,1,1,0,0,71,1,0,678
55,1,1,1,0,52,1,0,182
44,6,1,2,0,292,1,0,162
44,7,0,1,0,424,1,0,27
39,3,2,0,0,109,1,0,699
46,1,1,3,0,1044,1,0,43
39,1,1,1,0,983,1,0,97
34,0,1,1,0,869,0,0,1677
40,1,1,0,0,668,1,0,283
50,4,1,2,0,964,1,0,323
31,4,2,1,0,301,1,0,82
37,0,2,1,0,140,1,0,310
39,4,2,1,0,1877,1,0,185
51,1,1,0,0,1127,1,0,47
41,9,1,1,0,871,1,0,145
41,9,1,1,0,767,1,1,204
43,1,1,1,0,0,0,0,187
30,7,2,1,0,209,1,0,30
54,4,0,0,0,0,0,0,472
43,1,0,1,0,110,1,1,448
59,4,0,2,0,-76,1,1,264
47,9,1,3,0,178,1,0,169
40,1,1,0,0,-66,1,0,288
32,9,1,1,0,0,1,0,176
29,1,1,1,0,1,1,0,215
36,1,1,1,0,0,1,0,337
55,10,1,2,0,5345,0,0,278
30,1,0,1,0,-209,1,0,188
39,0,2,1,0,0,1,0,174
39,1,0,1,0,42,1,0,226
50,1,0,1,0,41,1,0,190
44,1,1,1,0,-99,1,0,111
37,9,2,1,0,17,1,0,164
46,0,1,0,0,276,1,1,157
32,9,2,3,0,-170,0,0,46
37,4,2,2,0,230,1,1,374
29,1,1,1,0,9,1,0,349
41,1,1,1,0,946,1,0,325
45,1,1,0,0,1297,1,0,233
57,5,0,1,0,-331,1,0,531
48,1,2,1,0,44,1,0,153
60,5,1,1,1,15,0,0,80
26,0,2,1,0,712,1,0,232
58,5,1,1,0,5435,1,0,118
34,0,1,1,0,507,1,0,190
55,10,0,1,0,387,1,0,918
41,1,1,0,0,0,1,1,238
50,4,0,1,0,1716,1,0,82
49,2,1,1,0,167,1,1,198
44,0,1,3,0,40,0,1,160
44,1,1,0,0,148,1,0,211
31,9,1,1,0,17,1,1,120
34,1,2,2,0,1011,1,0,136
46,4,2,3,0,1527,1,0,269
42,4,1,2,0,744,0,0,157
52,0,1,1,0,484,1,0,128
29,4,2,2,0,0,1,0,211
53,5,1,0,0,136,1,0,267
43,1,1,1,0,1335,1,0,371
38,4,1,1,0,517,1,0,288
46,4,1,2,0,459,1,0,221
48,4,0,3,0,549,1,0,427
30,0,0,1,0,83,1,1,310
44,1,1,0,0,213,0,0,158
31,3,1,0,0,203,1,0,604
42,7,2,1,0,518,1,0,198
40,4,2,2,0,3877,1,0,145
52,0,1,1,0,1236,1,0,247
45,1,0,1,0,756,1,0,179
48,1,1,1,0,157,1,0,73
45,1,1,0,0,-66,1,0,263
34,1,1,3,0,245,1,0,13
34,1,1,0,0,-144,1,0,79
46,1,1,1,0,71,1,0,416
49,7,0,1,0,505,1,0,162
50,9,1,0,0,249,1,0,129
34,0,2,1,0,0,1,0,150
40,10,2,1,0,11,1,0,43
36,0,1,1,0,639,1,0,191
59,1,0,3,0,124,1,0,26
45,1,1,1,0,82,1,0,250
36,6,1,2,0,107,1,0,146
56,7,1,1,0,473,1,0,416
42,7,0,1,0,372,1,1,121
30,0,1,1,0,46,1,0,114
30,8,2,2,0,34,1,0,289
47,6,1,3,0,935,1,0,225
33,1,1,1,0,-10,1,0,123
36,0,1,1,0,-106,1,0,130
39,7,0,0,0,471,1,0,161
56,0,0,1,0,778,1,0,149
39,1,0,3,0,170,1,0,268
42,9,1,1,0,315,1,0,259
52,1,1,1,0,3165,0,0,26
36,0,0,1,0,131,1,0,153
35,2,1,1,1,204,1,0,424
47,9,1,1,0,83,1,0,179
59,7,0,1,0,0,1,1,97
57,1,1,0,0,5431,1,1,383
38,4,1,3,0,1759,1,0,440
46,10,1,1,0,-125,1,0,23
34,1,1,1,0,0,0,0,195
28,7,2,1,0,5090,1,0,1297
38,9,1,3,0,573,1,0,87
56,1,1,1,0,1602,1,0,427
41,1,2,0,1,-137,1,1,189
52,9,1,3,0,0,0,0,195
54,7,1,1,0,193,0,0,179
61,5,1,1,0,195,1,1,179
53,2,1,1,0,288,0,0,69
47,9,1,1,0,19,1,0,105
53,1,1,0,0,25,1,0,266
46,7,1,1,0,216,1,0,524
39,1,0,0,0,190,1,1,96
56,9,0,1,0,99,1,0,155
55,7,0,0,0,2298,1,0,162
44,4,1,2,0,17,1,0,352
37,9,1,0,0,0,1,0,76
35,1,1,0,0,0,1,0,154
55,1,1,1,0,840,1,0,310
37,7,1,1,0,358,1,0,390
30,9,2,1,0,0,1,0,369
37,1,1,0,0,-325,1,1,112
36,9,2,1,0,-15,1,0,341
38,9,1,1,0,581,1,0,79
41,0,0,0,0,4070,1,0,140
48,5,1,1,0,74,0,1,315
55,7,0,1,0,141,1,0,262
28,7,0,1,0,89,0,0,174
54,7,1,1,1,0,1,0,138
30,1,1,1,0,450,0,0,526
48,9,1,2,0,310,0,0,135
31,6,1,1,0,0,1,0,36
38,1,1,1,0,384,1,0,1906
37,1,1,1,0,395,1,0,219
37,7,2,3,0,-118,1,0,147
56,1,1,0,0,5,1,1,407
51,1,1,1,0,50,1,1,121
39,1,1,1,0,285,1,1,209
49,9,1,3,0,15,0,0,92
51,1,1,0,0,653,1,1,208
43,6,1,1,0,918,1,0,193
32,7,1,1,0,243,1,1,144
29,9,2,2,0,405,1,0,65
48,4,0,2,0,1328,1,0,339
55,7,1,0,0,255,1,0,285
53,1,1,1,0,3397,1,0,231
47,9,1,3,0,2106,1,0,168
39,4,1,2,0,2877,1,0,278
31,1,2,2,0,60,1,1,389
39,1,1,0,0,2226,1,0,158
40,1,1,0,0,2880,1,0,145
40,9,2,3,0,-5,1,0,78
48,9,1,1,0,147,0,0,142
33,9,0,1,0,7,1,1,87
40,9,1,1,0,109,1,0,147
59,5,1,0,0,-119,1,0,289
30,9,1,1,0,484,1,0,703
31,4,2,2,0,1852,1,0,170
35,10,1,1,0,533,1,0,802
54,9,0,1,0,21,1,0,381
34,0,2,3,0,2434,1,0,218
32,9,1,1,0,90,1,1,57
56,0,0,3,0,4246,1,0,304
32,0,2,2,0,395,1,0,241
42,1,1,0,0,15,1,0,230
33,7,1,2,0,85,0,0,262
52,2,1,2,0,-184,1,1,392
52,7,1,1,0,660,0,0,201
52,1,0,0,1,-183,1,0,145
30,10,0,1,0,1144,1,0,252
44,7,0,1,0,1,1,0,235
35,0,1,1,0,69,1,1,235
55,4,2,1,0,220,1,0,328
33,1,1,0,0,332,1,0,116
37,1,2,1,0,240,1,0,246
42,9,2,1,0,0,1,0,293
43,10,1,1,0,0,1,0,37
38,2,1,2,0,898,1,0,132
37,9,1,1,0,123,1,1,530
31,8,2,1,0,252,1,0,175
41,4,1,2,0,65,1,0,524
41,9,1,1,0,-366,1,1,29
29,8,2,1,0,209,1,0,311
38,0,2,1,0,221,1,0,211
44,6,0,2,0,4,1,0,312
39,0,1,1,0,104,1,0,412
28,9,2,1,0,312,1,0,392
33,1,1,1,0,-349,1,0,191
41,7,1,3,0,4,0,0,284
40,1,1,0,0,-322,1,1,144
29,0,1,1,0,-150,1,0,328
38,4,1,3,0,1349,1,0,100
32,0,1,2,0,281,1,0,226
45,7,1,1,0,1259,1,0,507
33,0,2,1,0,101,1,0,392
34,1,1,1,0,848,1,0,684
41,2,1,3,0,89,1,0,333
41,1,1,1,0,140,1,0,311
35,0,2,1,0,148,1,0,128
40,9,2,1,0,200,1,0,322
60,6,1,0,0,46,1,0,202
47,7,0,1,0,201,1,0,92
46,1,1,0,0,530,1,0,739
